truncating existing tables...
writing ground truth to data\ground_truth.json...
loading 500 titles...
loading 20000 subscribers...
loading 3 change_log rows...
generating and loading playback_events (days=56, sessions_per_day=100000)...
playback_events: batch 349 done, 17450000 rows so far, 187.6s elapsed
playback_events: batch 350 done, 17500000 rows so far, 188.1s elapsed
playback_events: batch 351 done, 17550000 rows so far, 188.6s elapsed
playback_events: batch 352 done, 17600000 rows so far, 189.1s elapsed
playback_events: batch 353 done, 17650000 rows so far, 189.5s elapsed
playback_events: batch 354 done, 17700000 rows so far, 190.1s elapsed
playback_events: batch 355 done, 17750000 rows so far, 190.6s elapsed
playback_events: batch 356 done, 17800000 rows so far, 191.1s elapsed
playback_events: batch 357 done, 17850000 rows so far, 191.6s elapsed
playback_events: batch 358 done, 17900000 rows so far, 192.1s elapsed
playback_events: batch 359 done, 17950000 rows so far, 192.6s elapsed
playback_events: batch 360 done, 18000000 rows so far, 193.0s elapsed
playback_events: batch 361 done, 18050000 rows so far, 193.5s elapsed
playback_events: batch 362 done, 18100000 rows so far, 194.1s elapsed
playback_events: batch 363 done, 18150000 rows so far, 194.6s elapsed
playback_events: batch 364 done, 18200000 rows so far, 195.0s elapsed
playback_events: batch 365 done, 18250000 rows so far, 195.5s elapsed
playback_events: batch 366 done, 18300000 rows so far, 195.9s elapsed
playback_events: batch 367 done, 18350000 rows so far, 196.4s elapsed
playback_events: batch 368 done, 18400000 rows so far, 196.8s elapsed
playback_events: batch 369 done, 18450000 rows so far, 197.4s elapsed
playback_events: batch 370 done, 18500000 rows so far, 197.9s elapsed
playback_events: batch 371 done, 18550000 rows so far, 198.4s elapsed
playback_events: batch 372 done, 18600000 rows so far, 198.9s elapsed
playback_events: batch 373 done, 18650000 rows so far, 199.5s elapsed
playback_events: batch 374 done, 18700000 rows so far, 200.1s elapsed
playback_events: batch 375 done, 18750000 rows so far, 200.6s elapsed
playback_events: batch 376 done, 18800000 rows so far, 201.1s elapsed
playback_events: batch 377 done, 18850000 rows so far, 201.6s elapsed
playback_events: batch 378 done, 18900000 rows so far, 202.0s elapsed
playback_events: batch 379 done, 18950000 rows so far, 202.4s elapsed
playback_events: batch 380 done, 19000000 rows so far, 202.9s elapsed
playback_events: batch 381 done, 19050000 rows so far, 203.4s elapsed
playback_events: batch 382 done, 19100000 rows so far, 203.8s elapsed
playback_events: batch 383 done, 19150000 rows so far, 204.2s elapsed
playback_events: batch 384 done, 19200000 rows so far, 204.7s elapsed
playback_events: batch 385 done, 19250000 rows so far, 205.2s elapsed
playback_events: batch 386 done, 19300000 rows so far, 205.6s elapsed
playback_events: batch 387 done, 19350000 rows so far, 206.1s elapsed
playback_events: batch 388 done, 19400000 rows so far, 206.5s elapsed
playback_events: batch 389 done, 19450000 rows so far, 206.9s elapsed
playback_events: batch 390 done, 19500000 rows so far, 207.4s elapsed
playback_events: batch 391 done, 19550000 rows so far, 207.9s elapsed
playback_events: batch 392 done, 19600000 rows so far, 208.3s elapsed
playback_events: batch 393 done, 19650000 rows so far, 208.8s elapsed
playback_events: batch 394 done, 19700000 rows so far, 209.2s elapsed
playback_events: batch 395 done, 19750000 rows so far, 209.7s elapsed
playback_events: batch 396 done, 19800000 rows so far, 210.2s elapsed
playback_events: batch 397 done, 19850000 rows so far, 210.7s elapsed
playback_events: batch 398 done, 19900000 rows so far, 211.1s elapsed
playback_events: batch 399 done, 19950000 rows so far, 211.7s elapsed
playback_events: batch 400 done, 20000000 rows so far, 212.3s elapsed
playback_events: batch 401 done, 20050000 rows so far, 212.9s elapsed
playback_events: batch 402 done, 20100000 rows so far, 213.4s elapsed
playback_events: batch 403 done, 20150000 rows so far, 213.8s elapsed
playback_events: batch 404 done, 20200000 rows so far, 214.3s elapsed
playback_events: batch 405 done, 20250000 rows so far, 214.8s elapsed
playback_events: batch 406 done, 20300000 rows so far, 215.2s elapsed
playback_events: batch 407 done, 20350000 rows so far, 215.7s elapsed
playback_events: batch 408 done, 20400000 rows so far, 216.2s elapsed
playback_events: batch 409 done, 20450000 rows so far, 216.7s elapsed
playback_events: batch 410 done, 20500000 rows so far, 217.2s elapsed
playback_events: batch 411 done, 20550000 rows so far, 217.6s elapsed
playback_events: batch 412 done, 20600000 rows so far, 218.1s elapsed
playback_events: batch 413 done, 20650000 rows so far, 218.6s elapsed
playback_events: batch 414 done, 20700000 rows so far, 219.1s elapsed
playback_events: batch 415 done, 20750000 rows so far, 219.5s elapsed
playback_events: batch 416 done, 20800000 rows so far, 220.0s elapsed
playback_events: batch 417 done, 20850000 rows so far, 220.5s elapsed
playback_events: batch 418 done, 20900000 rows so far, 221.1s elapsed
playback_events: batch 419 done, 20950000 rows so far, 221.6s elapsed
playback_events: batch 420 done, 21000000 rows so far, 222.1s elapsed
playback_events: batch 421 done, 21050000 rows so far, 222.5s elapsed
playback_events: batch 422 done, 21100000 rows so far, 223.0s elapsed
playback_events: batch 423 done, 21150000 rows so far, 223.6s elapsed
playback_events: batch 424 done, 21200000 rows so far, 224.1s elapsed
playback_events: batch 425 done, 21250000 rows so far, 224.6s elapsed
playback_events: batch 426 done, 21300000 rows so far, 225.1s elapsed
playback_events: batch 427 done, 21350000 rows so far, 225.6s elapsed
